"device","method","filename","bytes","size","seconds","speed","blocksize","count","oflag"
/mnt/io1, write, /mnt/io1/test4.img, 536870912, 537 MB, 0.744445, 721 MB/s, 32768k, 16, dsync
/mnt/io1, read-cache, /mnt/io1/test4.img, 536870912, 537 MB, 0.714958, 751 MB/s, 32768k, 16, dsync
/mnt/io1, read-nocache, /mnt/io1/test4.img, 536870912, 537 MB, 1.32527, 405 MB/s, 32768k, 16, dsync
/mnt/io2, write, /mnt/io2/test0.img, 2097152, 2.1 MB, 0.426923, 4.9 MB/s, 8k, 256, dsync
/mnt/io2, read-cache, /mnt/io2/test0.img, 2097152, 2.1 MB, 0.00305093, 687 MB/s, 8k, 256, dsync
/mnt/io2, read-nocache, /mnt/io2/test0.img, 2097152, 2.1 MB, 0.00804455, 261 MB/s, 8k, 256, dsync
/mnt/io2, write, /mnt/io2/test1.img, 8388608, 8.4 MB, 0.243966, 34.4 MB/s, 64k, 128, dsync
/mnt/io2, read-cache, /mnt/io2/test1.img, 8388608, 8.4 MB, 0.011426, 734 MB/s, 64k, 128, dsync
/mnt/io2, read-nocache, /mnt/io2/test1.img, 8388608, 8.4 MB, 0.0191582, 438 MB/s, 64k, 128, dsync
/mnt/io2, write, /mnt/io2/test2.img, 33554432, 34 MB, 0.219877, 153 MB/s, 512k, 64, dsync
/mnt/io2, read-cache, /mnt/io2/test2.img, 33554432, 34 MB, 0.0475208, 706 MB/s, 512k, 64, dsync
/mnt/io2, read-nocache, /mnt/io2/test2.img, 33554432, 34 MB, 0.064019, 524 MB/s, 512k, 64, dsync
/mnt/io2, write, /mnt/io2/test3.img, 134217728, 134 MB, 0.219279, 612 MB/s, 4096k, 32, dsync
/mnt/io2, read-cache, /mnt/io2/test3.img, 134217728, 134 MB, 0.181286, 740 MB/s, 4096k, 32, dsync
/mnt/io2, read-nocache, /mnt/io2/test3.img, 134217728, 134 MB, 0.252383, 532 MB/s, 4096k, 32, dsync
/mnt/io2, write, /mnt/io2/test4.img, 536870912, 537 MB, 0.624851, 859 MB/s, 32768k, 16, dsync
/mnt/io2, read-cache, /mnt/io2/test4.img, 536870912, 537 MB, 0.722474, 743 MB/s, 32768k, 16, dsync
/mnt/io2, read-nocache, /mnt/io2/test4.img, 536870912, 537 MB, 0.974897, 551 MB/s, 32768k, 16, dsync
/mnt/sc1, write, /mnt/sc1/test0.img, 2097152, 2.1 MB, 17.3887, 121 kB/s, 8k, 256, dsync
/mnt/sc1, read-cache, /mnt/sc1/test0.img, 2097152, 2.1 MB, 0.00308425, 680 MB/s, 8k, 256, dsync
/mnt/sc1, read-nocache, /mnt/sc1/test0.img, 2097152, 2.1 MB, 0.0782084, 26.8 MB/s, 8k, 256, dsync
/mnt/sc1, write, /mnt/sc1/test1.img, 8388608, 8.4 MB, 6.09481, 1.4 MB/s, 64k, 128, dsync
/mnt/sc1, read-cache, /mnt/sc1/test1.img, 8388608, 8.4 MB, 0.0118386, 709 MB/s, 64k, 128, dsync
/mnt/sc1, read-nocache, /mnt/sc1/test1.img, 8388608, 8.4 MB, 0.241903, 34.7 MB/s, 64k, 128, dsync
/mnt/sc1, write, /mnt/sc1/test2.img, 33554432, 34 MB, 3.04703, 11.0 MB/s, 512k, 64, dsync
/mnt/sc1, read-cache, /mnt/sc1/test2.img, 33554432, 34 MB, 0.0471305, 712 MB/s, 512k, 64, dsync
/mnt/sc1, read-nocache, /mnt/sc1/test2.img, 33554432, 34 MB, 0.757116, 44.3 MB/s, 512k, 64, dsync
/mnt/sc1, write, /mnt/sc1/test3.img, 134217728, 134 MB, 3.80897, 35.2 MB/s, 4096k, 32, dsync
